name,url,price
Zwin - Responsive Vcard Template,https://themeforest.net/item/zwin-responsive-vcard-template/1970657,17
Cascade - Responsive Personal vCard Template,https://themeforest.net/item/cascade-responsive-personal-vcard-template/758689,19
BookCard - 3D Folded vCard Template,https://themeforest.net/item/bookcard-responsive-3d-folded-vcard/4285225,25
The Virtual Business Card (vCard),https://themeforest.net/item/the-virtual-business-card-vcard/71184,10
"ShiftCV | Blog, Resume, Portfolio",https://themeforest.net/item/shiftcv-blog-resume-portfolio/5925341,15
Precision - Premium vCard,https://themeforest.net/item/precision-premium-vcard/1253503,8
FlexyVcard - Responsive Vcard Template ,https://themeforest.net/item/flexyvcard-responsive-vcard-template-/7158750,14
Mi. - Ultimate Personal Resume vCard Template,https://themeforest.net/item/mi-ultimate-personal-resume-vcard-template/13308494,15
Prestige - Personal vCard Template,https://themeforest.net/item/prestige-personal-vcard-template/1687904,19
Intima - Clean & Responsive Resume Template,https://themeforest.net/item/intima-clean-responsive-resume-template/8847426,13
Kitzu - Personal Portfolio Template,https://themeforest.net/item/kitzu-personal-portfolio-template/26075107,9
Divergent - Personal Vcard Resume HTML Template,https://themeforest.net/item/divergent-personal-vcard-resume-html-template/12863067,15
MaterialX - Material Design Personal Template,https://themeforest.net/item/materialx-material-design-personal-template/10735301,15
LETA - Responsive Vcard Template,https://themeforest.net/item/leta-responsive-vcard-template/4466347,10
Moje. - Responsive Bootstrap Personal Resume vCard HTML/CSS Theme,https://themeforest.net/item/moje-responsive-bootstrap-personal-resume-vcard-htmlcss-theme/7800423,15
UkieCard - Personal Vcard & Resume HTML Template,https://themeforest.net/item/ukiecard-personal-vcard-resume-html-template/11314423,13
INSTA - One Page Responsive Resume Template,https://themeforest.net/item/insta-one-page-responsive-resume-template/12417028,14
Monaco - Personal vCard Template,https://themeforest.net/item/monaco-personal-vcard-template/1047779,19
cvCard - Responsive Resume Template,https://themeforest.net/item/cvcard-responsive-vcard-template/6791691,19
Bionick - Responsive Personal Portfolio Template,https://themeforest.net/item/bionick-responsive-personal-portfolio-template/11860143,17
Identity - Responsive One Page Vcard Portfolio,https://themeforest.net/item/identity-responsive-one-page-vcard-portfolio/7568626,14
Bolby - Portfolio/CV/Resume HTML Template,https://themeforest.net/item/bolby-portfoliocvresume-html-template/25767740,14
Solonick - Creative Responsive Personal Portfolio,https://themeforest.net/item/solonick-creative-responsive-personal-portfolio/21743062,17
Travelogue - Travel Blog HTML Template,https://themeforest.net/item/travelogue-travel-blog-html-template/9058694,17
Who I am - Personal Resume and Portfolio,https://themeforest.net/item/who-i-am-personal-resume-and-portfolio/9745869,15
"Cards - Personal vCard, Resume/CV & Portfolio",https://themeforest.net/item/cards-personal-vcard-resumecv-portfolio/13066785,17
JustMe Responsive Professional vCard,https://themeforest.net/item/justme-responsive-professional-vcard/2415328,8
HTML Site - Adaptive Bootstrap Square vCard,https://themeforest.net/item/html-site-adaptive-bootstrap-square-vcard/4902009,9
Cooper - Creative  Responsive Personal  Portfolio,https://themeforest.net/item/cooper-creative-responsive-personal-portfolio/18855832,17
Taso - Personal Portfolio Template,https://themeforest.net/item/taso-personal-portfolio-template/22420342,10
Baha - Personal Portfolio Template,https://themeforest.net/item/baha-personal-portfolio-template/24030489,14
 miniMe - Clean & Responsive Template,https://themeforest.net/item/-minime-clean-responsive-template/10254848,15
Chulan -  Personal Portfolio & Resume Page,https://themeforest.net/item/chulan-personal-portfolio-resume-page/7053698,13
Waxon - Personal Portfolio Template,https://themeforest.net/item/waxon-personal-portfolio-template/29135128,14
Squares - HTML5 vCard/Portfolio Template,https://themeforest.net/item/squares-html5-vcardportfolio-template/548299,9
"Arshia - Bootstrap 4 Personal, portfolio and resume template + RTL",https://themeforest.net/item/arshia-bootstrap-4-personal-portfolio-and-resume/25605153,12
"SpirIT — Portfolio & Resume HTML Template for Developers, Programmers and Freelancers.",https://themeforest.net/item/spirit-portfolioresume-html-template-for-developers-programmers-and-freelancers/17094383,20
